Class,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,Support
0,0.7459253055467074,0.02086041216775618,0.8204579236026526,0.03555201814300492,0.7808785566770148,0.019406046990926976,122
1,0.7547423611690609,0.03384482455247301,0.8265337008156488,0.03129463770242559,0.7880027990200419,0.01794699385599673,149
2,0.7480509155627121,0.029324221235453203,0.7243275443872521,0.019909056014081404,0.7356334885060929,0.01885566961256486,139
3,0.9061624514385185,0.013793038184192323,0.977350561216592,0.011094593339792047,0.9403606073709746,0.010624080111484396,110
4,0.7987859445879453,0.033979416529718934,0.8623616015635929,0.027837670028154488,0.8283305594926647,0.012618714239602632,103
5,0.7842345988688519,0.05733388302714196,0.7861873694956641,0.03433934286048687,0.7836686437679807,0.031856347490462865,65
6,0.7008378196630275,0.015766571364552423,0.767326106523614,0.0427303957645449,0.7318507881929724,0.02001083704429632,103
7,0.7381060618246221,0.027338310122574563,0.7521614717089059,0.016512249615268676,0.7447498992823683,0.016782905006883203,90
8,0.8177745011688872,0.03310500982918096,0.7371471483592155,0.029336309892267775,0.7745168418373609,0.017853974663781667,95
9,0.7131639855604348,0.047594020072933695,0.6717436023874809,0.03170668940272601,0.6901773532697405,0.021870121852247352,206
10,0.7196732022096004,0.03558414347095466,0.6788846126335056,0.025778666227789244,0.6978074989495822,0.017677552308627706,190
11,0.7297648349848822,0.06337953094082359,0.6620299251479506,0.06032802223001713,0.6902965377673642,0.03521023561293343,77
12,0.710768100615328,0.021516711829563866,0.7915164350048723,0.025413924314874964,0.7486208280553944,0.01676032116810919,270
13,0.7486206475516821,0.05700092813262364,0.5121231963383497,0.05917124383015097,0.6052635503602726,0.04308710885258188,37
14,0.7406842195717898,0.0243378197745191,0.7603036959061245,0.036921966044760196,0.7494746885607498,0.01838386970336313,302
15,0.730631978048208,0.07049454733918978,0.40673830524515264,0.06364462652151998,0.5185674188819436,0.057077137483809784,38
16,0.9020998089057064,0.030394028267765723,0.8973090381749127,0.016839261433682553,0.8994047770172626,0.01830270748955288,122
17,0.5906437723137942,0.02630286333608786,0.6582572007467767,0.02864669918537627,0.6218739414001047,0.016824117715477333,377
18,0.7730820431027348,0.04627414555565688,0.7287293580762851,0.03255681999872298,0.748868074729658,0.023211587186484983,123
19,0.7507377697567531,0.03362696752378809,0.6918681279042056,0.04434450445492246,0.7193712483492076,0.03218404699923429,44
20,0.08611111111111111,0.15833333333333333,0.006524247125750881,0.010130604256551944,0.011600332626025112,0.01778932669802449,51
21,0.7976428536413986,0.05608418262796323,0.5676213525739205,0.03584215967175721,0.6624375626518136,0.03798280731375959,94
22,0.7638146143069825,0.03456912158538004,0.8523185852643227,0.0290480162523116,0.8048942417931342,0.021545743639409934,199
23,0.7030591521067218,0.04026525403666921,0.8247473864081483,0.042474682716039304,0.757606777400627,0.024103701066144907,72
24,0.8353210099375759,0.0260090066930789,0.9051149171881608,0.019140363057517932,0.8685689882618213,0.017926951605617938,186
25,0.7851237565565821,0.07048433133373652,0.697325605360094,0.0334106323125111,0.7366871496162114,0.04053776062544598,50
26,0.7155568353136411,0.0726080657955909,0.5917655323064077,0.07347205666191543,0.6416273252591458,0.03992157899084537,38
27,0.4175175176335518,0.05974418718310405,0.3258625947801603,0.036175876557528575,0.36354263180827673,0.03389540729126401,111
28,0.9446207158985722,0.014463047130531256,0.9929739906288002,0.005365322914485026,0.9681433528684924,0.008794232360356459,113
29,0.7439435700728673,0.10153921426724949,0.7011000629125103,0.07108861990839092,0.7152134775670895,0.052028382809668976,35
