Class,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,Support
0,0.736849526073844,0.02210986416902558,0.8266569529209219,0.03087464810262238,0.7786302141963961,0.016533891973951314,122
1,0.7515905589942707,0.042739681845912515,0.827836003992952,0.03161981656582138,0.7866304170632017,0.024125196680852275,149
2,0.7523987794442444,0.03017088550107166,0.7216218355614186,0.022952911331542935,0.736209457004851,0.018883447130590838,139
3,0.9063554179220288,0.017462199017576806,0.976422632340522,0.012749513812076861,0.9399878846266013,0.01233768364621335,110
4,0.7987623605749159,0.034078130642452666,0.863313329249437,0.027754918447203722,0.8288742101256193,0.01612058018621985,103
5,0.7932075323653747,0.06237567624041983,0.7812074629028544,0.031133695304959425,0.7857263586746795,0.03506507027995189,65
6,0.7071632848904487,0.028130084011881825,0.7601955605351385,0.04282081215119431,0.7317950434374929,0.024242257629876467,103
7,0.7406285360669991,0.026675139769318696,0.7458440189550675,0.018153476037721716,0.7427848942865106,0.0140243938531749,90
8,0.8070664792798962,0.048044499335465576,0.7299380776077807,0.03268187047303002,0.7651256158526076,0.02308401287396314,95
9,0.7190241115191515,0.03451730645942168,0.6677838660968473,0.04189140632204164,0.690708664788489,0.016997998313117012,206
10,0.7073359866755816,0.03378637816089744,0.6876223791562888,0.023431799029983606,0.6964798688657037,0.014679167216007238,190
11,0.7399106657343463,0.05846181673193093,0.6691526345676794,0.05919272035393559,0.6991489848402243,0.030952564660686414,77
12,0.7093101233106454,0.029598674889604187,0.7884006336557632,0.02547247725440424,0.7461421149638066,0.018418092701818725,270
13,0.760526299471853,0.0963703607006987,0.5071152521999709,0.04742378606728436,0.6047233310694055,0.04602940787643744,37
14,0.750979857508715,0.02303920251576268,0.7638341291905968,0.048067158165131144,0.7561275155298601,0.021548237130109442,302
15,0.7213514245453974,0.12315621320737298,0.40067921255562516,0.05734939203270158,0.5108821605473159,0.06402560700713324,38
16,0.9043062536259014,0.028856800273639495,0.8981314363278157,0.017992683616300683,0.9009024496735079,0.017599252968175435,122
17,0.6040336911397607,0.028744140549294583,0.6537198720414943,0.04306426024217054,0.6261298479535696,0.014536792436186304,377
18,0.7478603251726811,0.045326219389800894,0.7491997001745172,0.034137601041871676,0.7473196486175706,0.026934141525845983,123
19,0.734948316979473,0.034402145094242845,0.6888433640098766,0.047290933281223406,0.7098518615985393,0.027905458542914555,44
20,0.03859649122807017,0.09949085528952858,0.00448343079922027,0.009134794942580876,0.0070175438596491195,0.014035087719298239,51
21,0.7829781124449985,0.03237490309973619,0.5709418688839122,0.03804543037326706,0.6593960299563533,0.027138839483083946,94
22,0.7594967717699478,0.03258226892546067,0.8635778927035004,0.022954225277349086,0.8076646186963512,0.020500955778679487,199
23,0.7020118745199175,0.034879101154995144,0.8280304592240725,0.04862962774113178,0.7588280154071019,0.030010195332167672,72
24,0.8313840265822637,0.023301888866342546,0.9078947054894625,0.01973277119302218,0.8676528370327216,0.014489205955413939,186
25,0.8008190211580845,0.05444573254064967,0.6789335048061395,0.048208369024911865,0.7330366771663059,0.037933774082503965,50
26,0.6913843836306295,0.07373718280536253,0.6090472783381536,0.05856925121988326,0.64411234259687,0.04070477221445569,38
27,0.4227054852406139,0.048793476868207356,0.3242041562763704,0.028622291266804625,0.3650809242792285,0.026768249097171588,111
28,0.9471027893549518,0.01280136448879598,0.9938589463810127,0.005710296951636486,0.9698765420301575,0.007996809005209906,113
29,0.7579111537687119,0.1050738618590551,0.7006238724363199,0.06874349632159142,0.72057929646091,0.0458688009781879,35
