Class,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,Support
0,0.8411419088944424,0.03955082705551091,0.8906507050034629,0.036347274907403505,0.8641573631796113,0.02373177654260871,46
1,0.9627176759918695,0.030537190548502357,0.9912380952380954,0.017606430488824897,0.9764745680996407,0.01889043187189742,24
2,0.9597031174925859,0.015349287182230529,0.9839217943170879,0.015038385879914545,0.9715523573430568,0.01122419971955255,55
3,0.788982243954281,0.06558713566862023,0.7596512978347073,0.06250335723258105,0.7701909836559563,0.03077984185637734,42
4,0.7913638334290509,0.09139072169435053,0.8401157339990292,0.07303971753687293,0.8112415136240649,0.060820845396654,20
5,0.92019511308985,0.037990717151212904,0.897428586247585,0.034374884612341804,0.9078060536245578,0.02259425016494988,37
6,0.9052195767495832,0.042575005023276435,0.891296724317144,0.03787443115108772,0.8967006840925794,0.017297342069233158,37
7,0.8037835208510827,0.04270537889409257,0.8146636384896622,0.03467176749634031,0.8078928228435421,0.022333778565241335,119
8,0.7661847444665641,0.08190371429141806,0.7868693070845981,0.0702115463711337,0.7700421243418629,0.027943254253676903,47
9,0.8073874904652938,0.0992271386916493,0.8549044582868112,0.05604252202609115,0.8266468955679029,0.06045342437611895,19
10,0.9282142857142859,0.057760280470233176,0.9134799367299367,0.05058667177337035,0.9186597477127538,0.03087614579505948,22
11,0.8120337804081321,0.03737544390199354,0.8309364285414709,0.030285602339068147,0.8206291904780366,0.02356094671427692,112
12,0.895028299959783,0.04510333533056745,0.8856094785384286,0.03949994735820312,0.8888098944901726,0.02162518270385072,41
13,0.7667637600131879,0.061298788855917004,0.7269444609547584,0.06937249067046969,0.7426332930337918,0.04108151352982578,19
14,0.8821008858350314,0.07099586260121754,0.8458964941577058,0.06557383551445434,0.861070126869312,0.05065549361035717,33
15,0.8487193749248035,0.0884158365118411,0.8690335925646868,0.07851688112308916,0.8517495656038463,0.035551881567495065,18
16,0.9583143824893341,0.023595735292294303,0.9428117839990018,0.02506544379614882,0.9499753173414833,0.010204772544797201,85
17,0.8893161847106749,0.051091305574785244,0.8718765506899382,0.06065656004789474,0.8785150046596172,0.03660101354245944,29
18,0.38656565656565656,0.144802802545,0.28800589708198404,0.12075912761630694,0.3153637283794389,0.1076596411960544,26
19,0.9835922232983088,0.012207889941923714,1.0,0.0,0.9916900499727689,0.00620726158202152,48
